3,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,11,11,11,11,
3,3,2,2,2,2,2,3,3,2,2,2,2,4,2,0,11,11,11,11,
2,2,2,2,2,2,2,2,2,2,6,2,2,4,2,0,11,11,11,11,
0,2,2,2,2,2,2,0,0,0,0,0,0,0,2,0,11,11,11,11,
0,12,2,2,2,2,2,2,2,2,9,0,0,13,2,0,11,11,11,11,
0,0,0,0,0,2,2,2,2,2,2,7,0,2,2,0,11,11,11,11,
0,13,2,2,2,3,2,0,0,2,9,0,0,2,2,0,11,11,11,11,
0,2,2,2,2,2,2,2,14,0,0,0,13,2,2,0,11,11,11,11,
0,12,2,2,3,9,9,3,2,2,2,2,2,2,15,0,11,11,11,11,
14,0,0,0,0,0,0,0,0,12,2,2,15,0,0,0,11,11,11,11,
11,14,0,0,0,6,6,0,0,0,4,4,0,0,6,0,11,11,11,11,
11,11,0,0,0,0,0,0,0,0,2,2,14,9,9,13,11,11,11,11,
11,11,0,0,0,0,0,0,0,0,2,2,2,3,3,2,11,11,11,11,
11,11,14,0,0,0,0,0,0,13,2,2,2,2,3,2,15,0,12,2,
11,11,11,11,11,11,11,11,11,11,2,2,2,3,3,3,0,5,0,2,
11,11,11,11,11,11,11,11,11,11,2,2,2,2,2,3,3,3,3,3,
11,11,11,11,11,11,11,11,11,11,2,2,2,2,2,2,2,3,2,2,
11,11,11,11,11,11,11,11,11,11,2,2,2,2,2,2,2,3,2,2,
11,11,11,11,11,11,11,11,11,11,2,2,2,2,2,2,2,2,2,2,
11,11,11,11,11,11,11,11,11,11,2,2,2,2,2,2,2,2,2,2,
