2,2,2,2,2,2,2,2,14,0,0,0,12,2,2,2,2,0,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,0,2,8,0,2,0,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,2,0,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,8,2,0,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,2,0,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,0,2,2,
2,2,2,2,15,12,2,2,2,2,2,2,0,2,2,2,2,0,2,2,
2,2,2,2,14,0,0,0,0,0,0,0,0,12,2,2,15,0,0,0,
2,2,2,2,2,2,2,2,2,2,2,2,14,13,4,4,14,13,2,7,
2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,5,4,2,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,2,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,15,12,4,4,15,12,2,2,
2,2,2,2,15,0,0,0,0,0,0,0,0,13,2,2,14,0,0,2,
2,2,2,2,14,13,2,2,2,2,2,2,0,2,2,2,2,0,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,0,10,2,10,2,0,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,15,0,0,0,0,12,2,2,
